Date,Open,High,Low,Close,Volume
"Mar 19, 2021",195.73,227,182.66,200.27,"24,677,297"
"Mar 22, 2021",205.26,210.36,186.2,194.49,"10,061,505"
"Mar 23, 2021",197.5,201.75,177.55,181.75,"14,429,145"
"Mar 24, 2021",157.98,166.97,118.62,120.34,"24,177,877"
"Mar 25, 2021",123.49,187.5,116.9,183.75,"50,962,337"
"Mar 26, 2021",197.68,218.93,163.26,181,"37,430,672"
"Mar 29, 2021",180.75,193.92,173.51,181.3,"10,042,175"
"Mar 30, 2021",187.5,204.3,182,194.46,"17,094,924"
"Mar 31, 2021",197.5,199.46,187.11,189.82,"8,393,834"
"Apr 1, 2021",193.36,196.97,183.6,191.45,"9,334,345"
"Apr 5, 2021",171,195,164.81,186.95,"14,070,489"
"Apr 6, 2021",185.21,192,183.56,184.5,"6,218,318"
"Apr 7, 2021",183.22,184.5,176.11,177.97,"4,768,261"
"Apr 8, 2021",185.88,185.88,164.3,170.26,"10,047,390"
"Apr 9, 2021",169.7,171.58,153,158.36,"9,462,380"
"Apr 12, 2021",158.11,163.9,135.01,141.09,"16,683,595"
"Apr 13, 2021",141.88,145.38,132,140.99,"6,806,868"
"Apr 14, 2021",143.57,174.09,143,166.53,"21,138,138"
"Apr 15, 2021",163,166.25,152.8,156.44,"7,856,780"
"Apr 16, 2021",156,160.2,151.25,154.69,"5,214,710"
"Apr 19, 2021",171.8,175.2,162.33,164.37,"10,520,214"
"Apr 20, 2021",164.14,164.89,153.36,158.53,"4,658,608"
"Apr 21, 2021",158.4,162.98,155.92,158.51,"3,812,845"
"Apr 22, 2021",159.1,159.1,146.86,151.17,"4,345,809"
"Apr 23, 2021",149,153.66,144.7,151.18,"4,042,057"
"Apr 26, 2021",150.98,174.68,148.76,168.93,"10,532,108"
"Apr 27, 2021",183.55,188,173.17,177.77,"8,932,718"
"Apr 28, 2021",172.1,181.98,166.03,178.58,"5,788,938"
"Apr 29, 2021",176.56,180.86,170.75,176.19,"3,760,250"
"Apr 30, 2021",175,183.8,172.7,173.59,"4,433,565"
"May 3, 2021",177.49,177.49,159.61,162.2,"5,261,019"
"May 4, 2021",159,161.49,151.8,160.73,"4,007,512"
"May 5, 2021",161.83,165.5,158.33,159.48,"1,789,186"
"May 6, 2021",160.86,164.72,155.6,161.01,"2,942,802"
"May 7, 2021",160.11,167.41,157.5,161.11,"2,934,624"
"May 10, 2021",161.31,161.59,143,143.22,"4,806,685"
"May 11, 2021",137,150.5,136.5,146.92,"4,684,584"
"May 12, 2021",145.7,150.5,142.23,144.79,"2,731,510"
"May 13, 2021",147.44,169.95,146.43,164.5,"8,873,487"
"May 14, 2021",160,166.47,156.22,159.92,"4,293,530"
"May 17, 2021",159.85,182.5,159,180.6,"7,462,095"
"May 18, 2021",174.54,189.2,168.27,180.67,"7,738,717"
"May 19, 2021",171.99,178.98,164.15,168.83,"4,825,905"
"May 20, 2021",170.79,174.91,166.9,170.49,"2,478,168"
"May 21, 2021",171,179.24,170.33,176.79,"3,654,683"
"May 24, 2021",175.85,188.46,173.35,180.01,"4,664,348"
"May 25, 2021",181,217.11,181,209.43,"14,887,457"
"May 26, 2021",229,248.48,225.55,242.56,"21,119,872"
"May 27, 2021",229.8,264,227,254.13,"15,526,303"
"May 28, 2021",262.97,268.8,221.43,222,"11,751,365"
"Jun 1, 2021",233.48,254.98,227.07,249.02,"9,625,610"
"Jun 2, 2021",248.88,294,244.3,282.24,"16,019,220"
"Jun 3, 2021",265.71,274.43,242.12,258.18,"7,999,955"
"Jun 4, 2021",256.02,265,245.77,248.36,"3,637,515"
"Jun 7, 2021",258,282,255.2,280.01,"6,051,490"
"Jun 8, 2021",292,344.66,281,300,"17,439,118"
"Jun 9, 2021",303.12,328,291.51,302.56,"13,429,309"
"Jun 10, 2021",282,288,211,220.39,"22,980,152"
"Jun 11, 2021",222.35,241.13,206.13,233.34,"15,580,774"
"Jun 14, 2021",236.5,238.01,219.2,229.44,"7,132,627"
"Jun 15, 2021",226.36,229.25,208,222.5,"7,301,935"
"Jun 16, 2021",215.24,228.73,209,222.97,"5,564,827"
"Jun 17, 2021",224,233.66,221.48,223.59,"4,608,573"
"Jun 18, 2021",220.18,223.49,213,213.82,"4,320,317"
"Jun 21, 2021",216.95,218.4,197,200.37,"5,120,186"
"Jun 22, 2021",217.73,225.88,209.17,220.4,"8,200,177"
"Jun 23, 2021",221.45,222.57,214.12,219.34,"3,555,090"
"Jun 24, 2021",221.16,227.45,211.6,212.31,"3,863,339"
"Jun 25, 2021",214,214.2,198.5,209.51,"12,692,749"
"Jun 28, 2021",211.25,224.45,210.2,213.25,"4,879,364"
"Jun 29, 2021",213.59,215.22,208.01,210.88,"2,480,009"
"Jun 30, 2021",209.69,215.28,206.94,214.14,"2,539,648"
"Jul 1, 2021",213.4,216.83,202,204.36,"2,742,112"
"Jul 2, 2021",204.8,205.45,196.5,202.83,"2,602,729"
"Jul 6, 2021",204,204.77,193.71,199.56,"2,768,062"
"Jul 7, 2021",196,197.5,177.56,190.66,"4,239,500"
"Jul 8, 2021",179.83,194.22,179.5,191.38,"2,857,514"
"Jul 9, 2021",190.88,194.78,186.75,191.23,"1,582,925"
"Jul 12, 2021",191.42,197.75,187.42,189.25,"1,636,324"
"Jul 13, 2021",187.68,188.79,179,180.06,"2,397,944"
"Jul 14, 2021",180.49,182.38,165.07,167.62,"3,913,770"
"Jul 15, 2021",160,171.99,158.01,166.82,"4,298,589"
"Jul 16, 2021",170.15,179.47,166.3,169.04,"3,287,929"
"Jul 19, 2021",163.3,176,161.22,173.49,"2,436,934"
"Jul 20, 2021",173.9,193.64,172.42,191.18,"3,101,090"
"Jul 21, 2021",187.79,195.51,182.11,185.81,"2,229,184"
"Jul 22, 2021",185.3,187.69,176.15,178.85,"1,412,988"
"Jul 23, 2021",181,181.6,173.84,180.36,"1,316,168"
"Jul 26, 2021",180.36,186.04,178.76,183.94,"1,260,593"
"Jul 27, 2021",183,185,176.66,178.54,"1,214,775"
"Jul 28, 2021",175.72,177.12,164.27,169.12,"4,100,845"
"Jul 29, 2021",170.6,173.89,164.51,164.86,"2,239,995"
"Jul 30, 2021",165,167.22,158.87,161.12,"2,377,118"
"Aug 2, 2021",162,163.59,155.06,157.65,"2,532,931"
"Aug 3, 2021",156.74,158.89,148.2,152.75,"14,450,624"
"Aug 4, 2021",152.73,157.79,145.69,146.8,"2,393,484"
"Aug 5, 2021",148,157.6,145.22,153.44,"2,412,123"
"Aug 6, 2021",154.59,156.5,150.31,151.77,"1,352,689"
"Aug 9, 2021",151.8,164.71,150.66,161.13,"2,249,204"
"Aug 10, 2021",161.36,166.9,155.35,159.05,"1,623,334"
"Aug 11, 2021",158.43,159.05,154.62,158.78,"945,428"
"Aug 12, 2021",159.88,164.28,157.33,162.35,"1,319,832"
"Aug 13, 2021",160.47,163.55,157.41,162.52,"1,014,751"
"Aug 16, 2021",161,169.88,159.16,163.93,"1,574,877"
"Aug 17, 2021",161.19,169.48,161.1,163.55,"1,215,938"
"Aug 18, 2021",163.25,165.6,156.75,157.05,"1,411,842"
"Aug 19, 2021",156.77,157.99,150.78,152.9,"1,196,548"
"Aug 20, 2021",153.8,160.09,153.24,159.3,"1,154,858"
"Aug 23, 2021",162.38,167.29,159.55,164.89,"1,343,032"
"Aug 24, 2021",166.29,225,165.15,210.29,"14,652,209"
