Date,Open,High,Low,Close,Volume
"Dec 15, 2020",11.5,11.51,11.05,11.05,"7,250,257"
"Dec 16, 2020",10.99,11.1,10.7,10.88,"7,232,134"
"Dec 17, 2020",10.84,11.03,10.56,11.02,"7,773,436"
"Dec 18, 2020",11.24,12.36,11.07,12.08,"19,455,327"
"Dec 21, 2020",12.59,13.95,12.13,13.25,"19,575,331"
"Dec 22, 2020",13.69,14.17,12.56,13.45,"15,116,817"
"Dec 23, 2020",13.9,15.14,13.61,14.02,"15,546,477"
"Dec 24, 2020",14.46,15.35,14.26,14.9,"10,840,977"
"Dec 28, 2020",16.76,17.2,15.74,17.07,"19,509,531"
"Dec 29, 2020",16.52,16.88,15.35,16.24,"14,976,424"
"Dec 30, 2020",15.81,16.97,15.79,16,"8,843,790"
"Dec 31, 2020",16.14,16.81,15.52,16.77,"8,701,298"
"Jan 4, 2021",17.4,17.45,14.16,15.61,"21,001,682"
"Jan 5, 2021",15.41,16,14.81,15.09,"13,198,784"
"Jan 6, 2021",15.39,16.47,14.15,14.53,"26,843,568"
"Jan 7, 2021",15.22,16.33,14.75,16.02,"20,563,753"
"Jan 8, 2021",15.3,17.24,14.55,15.9,"15,379,993"
"Jan 11, 2021",15.93,15.93,14.75,14.98,"13,793,299"
"Jan 12, 2021",14.86,15.45,14.27,14.62,"15,606,576"
"Jan 13, 2021",14.56,14.77,13.8,14,"13,885,993"
"Jan 14, 2021",14.15,14.52,13.57,14.01,"13,765,612"
"Jan 15, 2021",13.87,14.18,13.1,13.24,"13,851,378"
"Jan 19, 2021",13.69,14.28,13.27,13.75,"13,329,634"
"Jan 20, 2021",13.89,14.33,13.61,13.73,"9,519,175"
"Jan 21, 2021",13.79,13.93,13.33,13.59,"7,794,582"
"Jan 22, 2021",13.45,14.14,13.21,13.55,"11,561,950"
"Jan 25, 2021",14.26,14.95,13.61,13.93,"16,186,962"
"Jan 26, 2021",14.01,15.88,13.85,15.76,"25,700,193"
"Jan 27, 2021",15.4,16.84,13.95,14.25,"22,931,102"
"Jan 28, 2021",14.78,15.45,13.5,14.07,"17,912,551"
"Jan 29, 2021",14.05,14.7,13.6,13.95,"12,310,606"
"Feb 1, 2021",14.13,14.4,13.5,13.81,"10,178,512"
"Feb 2, 2021",14.37,14.4,13.91,13.97,"11,088,928"
"Feb 3, 2021",14.07,14.25,13.83,13.95,"8,780,096"
"Feb 4, 2021",12.24,13.1,11.86,12.23,"69,989,931"
"Feb 5, 2021",12.53,13.07,11.3,12.93,"66,575,311"
"Feb 8, 2021",13.04,13.13,12.17,12.37,"34,364,435"
"Feb 9, 2021",12.62,13.7,12.4,13.16,"30,417,301"
"Feb 10, 2021",13.18,13.25,12.34,12.5,"17,265,764"
"Feb 11, 2021",12.38,12.48,11.76,12.01,"14,698,960"
"Feb 12, 2021",11.93,12.39,11.75,12.08,"9,652,781"
"Feb 16, 2021",12.2,12.23,11.4,11.49,"18,244,979"
"Feb 17, 2021",11.13,11.54,11.05,11.32,"13,279,745"
"Feb 18, 2021",11.11,11.24,10.51,10.83,"15,000,015"
"Feb 19, 2021",10.8,11.31,10.55,10.98,"16,930,777"
"Feb 22, 2021",11,11.67,10.98,11.08,"13,030,880"
"Feb 23, 2021",10.62,10.88,9.68,10.13,"18,013,167"
"Feb 24, 2021",10.16,10.49,10.05,10.34,"8,457,295"
"Feb 25, 2021",10.3,10.57,9.56,9.71,"15,351,670"
"Feb 26, 2021",9.92,10,9.16,9.4,"16,535,864"
"Mar 1, 2021",9.97,10.82,9.81,10.37,"19,560,693"
"Mar 2, 2021",9.85,9.85,9,9.04,"31,920,215"
"Mar 3, 2021",8.99,9.28,8.02,8.29,"25,552,444"
"Mar 4, 2021",8.08,8.27,6.93,7.29,"29,250,589"
"Mar 5, 2021",7.62,7.96,6.31,7.84,"27,624,268"
"Mar 8, 2021",7.91,8.12,7.3,7.35,"14,706,646"
"Mar 9, 2021",7.56,8.38,7.43,8.19,"13,962,881"
"Mar 10, 2021",8.3,8.6,8,8.11,"13,634,692"
"Mar 11, 2021",8.36,8.84,8.3,8.67,"9,389,762"
"Mar 12, 2021",8.41,8.95,8.22,8.91,"6,492,904"
"Mar 15, 2021",8.9,9.08,8.47,8.88,"9,408,103"
"Mar 16, 2021",8.87,9.07,8.41,8.61,"8,385,086"
"Mar 17, 2021",8.26,8.88,8.25,8.75,"13,208,415"
"Mar 18, 2021",8.63,8.87,8.28,8.47,"12,339,559"
"Mar 19, 2021",8.56,8.83,8.23,8.51,"19,825,177"
"Mar 22, 2021",8.44,8.85,8.36,8.79,"10,363,610"
"Mar 23, 2021",8.59,8.72,8.11,8.27,"12,386,904"
"Mar 24, 2021",8.19,8.25,7.64,7.67,"8,895,309"
"Mar 25, 2021",7.3,7.94,7.01,7.82,"8,926,322"
"Mar 26, 2021",7.74,7.86,7.25,7.59,"5,655,958"
"Mar 29, 2021",7.39,7.56,7.16,7.34,"4,552,869"
"Mar 30, 2021",7.24,7.3,6.9,7.19,"5,227,045"
"Mar 31, 2021",7.3,7.64,7.23,7.56,"4,816,457"
"Apr 1, 2021",7.63,7.69,7.32,7.38,"4,260,961"
"Apr 5, 2021",7.52,7.59,7.27,7.5,"3,472,295"
"Apr 6, 2021",7.49,7.84,7.43,7.61,"3,911,213"
"Apr 7, 2021",7.61,7.66,7.29,7.35,"3,555,155"
"Apr 8, 2021",7.35,9.23,7.12,8.85,"76,990,741"
"Apr 9, 2021",8.48,8.73,8.04,8.21,"28,369,080"
"Apr 12, 2021",8.08,8.14,7.61,7.82,"10,003,636"
"Apr 13, 2021",7.74,8,7.63,7.81,"4,714,746"
"Apr 14, 2021",7.87,7.87,7.41,7.42,"4,996,086"
"Apr 15, 2021",7.57,7.69,7.11,7.35,"5,824,424"
"Apr 16, 2021",7.36,10.03,7.23,8.82,"249,097,848"
"Apr 19, 2021",9.62,10.57,9.17,9.67,"236,758,169"
"Apr 20, 2021",9.41,9.42,8.36,8.62,"41,659,010"
"Apr 21, 2021",8.52,9.29,8.07,9.05,"23,876,815"
